StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
HAMLIN ST NE,38.927727106871906,-76.9698387313708,HAYES ST NE,38.89975048217351,-76.92647880908531,10189.61
HAYES ST NE,38.89975048217351,-76.92647880908531,HAYES ST NE,38.89969777313242,-76.92974507358176,19.2
HAYES ST NE,38.89969777313242,-76.92974507358176,HAYES ST NE,38.89912477247295,-76.9212524204008,208.7
HAYES ST NE,38.89912477247295,-76.9212524204008,HAYES ST NE,38.899826094556005,-76.93218913069782,255.43
HAYES ST NE,38.899826094556005,-76.93218913069782,HAYES ST NE,38.89974310151911,-76.94334658195298,30.23
HAYES ST NE,38.89974310151911,-76.94334658195298,HAYES ST NE,38.89973951343481,-76.93897831965113,1.31
HAYES ST NE,38.89973951343481,-76.93897831965113,INGRAHAM ST NE,38.95444666755502,-77.00432908619776,19925.41
INGRAHAM ST NE,38.95444666755502,-77.00432908619776,INGRAHAM ST NE,38.95465185027417,-76.99745020558164,74.73
INGRAHAM ST NE,38.95465185027417,-76.99745020558164,IRVING ST NE,38.9284224649463,-76.99557023619678,9553.28
IRVING ST NE,38.9284224649463,-76.99557023619678,IRVING ST NE,38.92883464238933,-76.98498102522962,150.12
IRVING ST NE,38.92883464238933,-76.98498102522962,IRVING ST NE,38.92916616457542,-76.97077347911289,120.75
IRVING ST NE,38.92916616457542,-76.97077347911289,ISHERWOOD ST NE,38.89547347355267,-76.9822053664448,12271.5
ISHERWOOD ST NE,38.89547347355267,-76.9822053664448,JACKSON ST NE,38.929415912916866,-76.99611585550375,12362.47
JACKSON ST NE,38.929415912916866,-76.99611585550375,JACKSON ST NE,38.9298930812881,-76.98394596054506,173.79
JACKSON ST NE,38.9298930812881,-76.98394596054506,JAMISON ST NE,38.92459593734457,-76.95313535007494,1929.32
JAMISON ST NE,38.92459593734457,-76.95313535007494,JAY ST NE,38.901586064190624,-76.93121643132423,8380.62
JAY ST NE,38.901586064190624,-76.93121643132423,JEFFERSON ST NE,38.95570728589217,-77.00823449774383,19712.01
JEFFERSON ST NE,38.95570728589217,-77.00823449774383,KEARNY ST NE,38.930912536430874,-76.98282799201698,9030.76
KEARNY ST NE,38.930912536430874,-76.98282799201698,KEARNY ST NE,38.930438887680516,-76.99369022230277,172.51
KEARNY ST NE,38.930438887680516,-76.99369022230277,KEARNY ST NE,38.93041000559764,-76.99557247214592,10.52
KEARNY ST NE,38.93041000559764,-76.99557247214592,KENNEDY ST NE,38.95659414748814,-77.00732716130943,9536.8
KENNEDY ST NE,38.95659414748814,-77.00732716130943,LANCASTER ST NE,38.93139112143101,-76.99679767484444,9179.46
LANCASTER ST NE,38.93139112143101,-76.99679767484444,LAWRENCE ST NE,38.93190902718049,-76.98233442631594,188.63
LAWRENCE ST NE,38.93190902718049,-76.98233442631594,LAWRENCE ST NE,38.93138968639722,-76.99557258749891,189.15
LAWRENCE ST NE,38.93138968639722,-76.99557258749891,LEE ST NE,38.90472303094368,-76.931532358318,9712.5
LEE ST NE,38.90472303094368,-76.931532358318,LEE ST NE,38.90371664760494,-76.94427695238183,366.54
LEE ST NE,38.90371664760494,-76.94427695238183,LONGFELLOW ST NE,38.957665417499555,-77.00743765271655,19649.2
LONGFELLOW ST NE,38.957665417499555,-77.00743765271655,MADISON ST NE,38.9587350374177,-77.00766175330814,389.58
MADISON ST NE,38.9587350374177,-77.00766175330814,MANN ST NE,38.90607226909085,-76.92608596679193,19180.82
MANN ST NE,38.90607226909085,-76.92608596679193,MEADE ST NE,38.9060762652921,-76.93178304829334,1.46
MEADE ST NE,38.9060762652921,-76.93178304829334,MEADE ST NE,38.90562939089999,-76.94332361595426,162.76
MEADE ST NE,38.90562939089999,-76.94332361595426,MONROE ST NE,38.93287077338439,-76.97948212815571,9921.83
MONROE ST NE,38.93287077338439,-76.97948212815571,NASH ST NE,38.907219955259926,-76.9408894504082,9342.52
NASH ST NE,38.907219955259926,-76.9408894504082,NASH ST NE,38.90721427352451,-76.9295622583852,2.07
NASH ST NE,38.90721427352451,-76.9295622583852,NEWTON ST NE,38.933954901820755,-76.97772670130047,9739.45
NEWTON ST NE,38.933954901820755,-76.97772670130047,NICHOLSON ST NE,38.960462027834694,-77.00236794450414,9654.44
NICHOLSON ST NE,38.960462027834694,-77.00236794450414,ONEIDA ST NE,38.96201689339543,-77.00181346883835,566.32
ONEIDA ST NE,38.96201689339543,-77.00181346883835,ORD ST NE,38.90855205859433,-76.93997213075713,19472.96
ORD ST NE,38.90855205859433,-76.93997213075713,OTIS ST NE,38.93493875199345,-76.97846278044454,9610.54
OTIS ST NE,38.93493875199345,-76.97846278044454,PARK ST NE,38.89280801004566,-76.99089241140456,15344.8
PARK ST NE,38.89280801004566,-76.99089241140456,PARKER ST NE,38.90186016633698,-77.00280584150454,3296.95
PARKER ST NE,38.90186016633698,-77.00280584150454,PATTERSON ST NE,38.90645554281102,-77.0074029055268,1673.72
PATTERSON ST NE,38.90645554281102,-77.0074029055268,PEABODY ST NE,38.962707481720926,-77.00302821347157,20488.08
PEABODY ST NE,38.962707481720926,-77.00302821347157,PERRY ST NE,38.93617514616353,-76.97318372860788,9663.63
PERRY ST NE,38.93617514616353,-76.97318372860788,PERRY ST NE,38.93617402721424,-76.96561782205048,0.41
PERRY ST NE,38.93617402721424,-76.96561782205048,PERRY ST NE,38.93617760079534,-76.98978944848112,1.3
PERRY ST NE,38.93617760079534,-76.98978944848112,PIERCE ST NE,38.90469631839901,-77.00747939598484,11466.08
PIERCE ST NE,38.90469631839901,-77.00747939598484,POLK ST NE,38.909624506359705,-76.940828677223,1794.94
POLK ST NE,38.909624506359705,-76.940828677223,QUACKENBOS ST NE,38.96377459945058,-77.00197385280515,19722.55
QUACKENBOS ST NE,38.96377459945058,-77.00197385280515,QUINCY ST NE,38.937242722830476,-76.9749597637364,9663.46
QUINCY ST NE,38.937242722830476,-76.9749597637364,QUINCY ST NE,38.93725229073859,-76.98889187133426,3.48
QUINCY ST NE,38.93725229073859,-76.98889187133426,RANDOLPH ST NE,38.93815895541583,-76.9744183854589,330.23
RANDOLPH ST NE,38.93815895541583,-76.9744183854589,RANDOLPH ST NE,38.93832202617382,-76.98837906838139,59.39
RANDOLPH ST NE,38.93832202617382,-76.98837906838139,SHEPHERD ST NE,38.93965834981585,-76.976172865708,486.72
SHEPHERD ST NE,38.93965834981585,-76.976172865708,SHEPHERD ST NE,38.93966427852619,-76.98709084440871,2.16
