StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
17TH ST NW,38.9222826319108,-77.03893579285342,17TH ST NW,38.896208976645795,-77.03946658945945,151.02
17TH ST NW,38.896208976645795,-77.03946658945945,18TH ST NW,38.90745728621153,-77.04174220372653,647.69
18TH ST NW,38.90745728621153,-77.04174220372653,18TH ST NW,38.93912913470053,-77.04159605855868,41.59
18TH ST NW,38.93912913470053,-77.04159605855868,18TH ST NW,38.93201665384941,-77.04129998890905,84.22
18TH ST NW,38.93201665384941,-77.04129998890905,18TH ST NW,38.942421888542945,-77.04127753198847,6.39
18TH ST NW,38.942421888542945,-77.04127753198847,19TH ST NW,38.90060687564538,-77.0434641185848,621.95
19TH ST NW,38.90060687564538,-77.0434641185848,20TH ST NW,38.90315660723947,-77.0449059903723,410.36
20TH ST NW,38.90315660723947,-77.0449059903723,20TH ST NW,38.89281338031322,-77.04493170672512,7.32
20TH ST NW,38.89281338031322,-77.04493170672512,20TH ST NW,38.91363823805193,-77.04487148025508,17.14
20TH ST NW,38.91363823805193,-77.04487148025508,21ST ST NW,38.903076861922024,-77.04665233371003,506.75
21ST ST NW,38.903076861922024,-77.04665233371003,22ND ST NW,38.89280882892198,-77.04885953623138,628.16
22ND ST NW,38.89280882892198,-77.04885953623138,22ND ST NW,38.91396597550481,-77.04878660045114,20.76
22ND ST NW,38.91396597550481,-77.04878660045114,22ND ST NW,38.903991399739276,-77.04881708705672,8.68
22ND ST NW,38.903991399739276,-77.04881708705672,23RD ST NW,38.91595731264811,-77.05063898158697,518.49
23RD ST NW,38.91595731264811,-77.05063898158697,23RD ST NW,38.89610681976548,-77.05013881519676,142.32
23RD ST NW,38.89610681976548,-77.05013881519676,23RD ST NW,38.90768092838351,-77.04998197302359,44.64
23RD ST NW,38.90768092838351,-77.04998197302359,24TH ST NW,38.91578065817861,-77.05260453975741,746.32
24TH ST NW,38.91578065817861,-77.05260453975741,24TH ST NW,38.902565276948415,-77.05142029587766,336.97
24TH ST NW,38.902565276948415,-77.05142029587766,25TH ST NW,38.897914591061074,-77.05336190323989,552.58
25TH ST NW,38.897914591061074,-77.05336190323989,25TH ST NW,38.9032486427305,-77.0533098973829,14.8
25TH ST NW,38.9032486427305,-77.0533098973829,26TH ST NW,38.901523167092996,-77.05475413299284,411.02
26TH ST NW,38.901523167092996,-77.05475413299284,26TH ST NW,38.90938927940667,-77.05476348997915,2.66
26TH ST NW,38.90938927940667,-77.05476348997915,26TH ST NW,38.904244965703754,-77.05474952700698,3.97
26TH ST NW,38.904244965703754,-77.05474952700698,27TH ST NW,38.96853479358668,-77.0561353013515,394.38
27TH ST NW,38.96853479358668,-77.0561353013515,27TH ST NW,38.90146603077018,-77.05610950837188,7.33
27TH ST NW,38.90146603077018,-77.05610950837188,27TH ST NW,38.927114286009655,-77.05533531301418,220.34
27TH ST NW,38.927114286009655,-77.05533531301418,27TH ST NW,38.933886250846406,-77.05529601132947,11.18
27TH ST NW,38.933886250846406,-77.05529601132947,28TH ST NW,38.96076631696414,-77.05747617310995,620.19
28TH ST NW,38.96076631696414,-77.05747617310995,28TH ST NW,38.90876188417301,-77.05710387680215,105.87
28TH ST NW,38.90876188417301,-77.05710387680215,29TH ST NW,38.93509156785125,-77.05984769229627,780.81
29TH ST NW,38.93509156785125,-77.05984769229627,29TH ST NW,38.95998016863632,-77.05874931100632,312.45
29TH ST NW,38.95998016863632,-77.05874931100632,29TH ST NW,38.96459942864768,-77.05873887275693,2.97
29TH ST NW,38.96459942864768,-77.05873887275693,29TH ST NW,38.94151816049063,-77.0586339206581,29.84
29TH ST NW,38.94151816049063,-77.0586339206581,29TH ST NW,38.90755785385308,-77.05814974306537,137.72
29TH ST NW,38.90755785385308,-77.05814974306537,29TH ST NW,38.926145539716366,-77.0577348031087,118.08
29TH ST NW,38.926145539716366,-77.0577348031087,30TH ST NW,38.93604323939534,-77.06107824110687,951.22
30TH ST NW,38.93604323939534,-77.06107824110687,30TH ST NW,38.950361508726004,-77.06163862333214,159.41
30TH ST NW,38.950361508726004,-77.06163862333214,30TH ST NW,38.95397581632347,-77.06098550424008,185.75
30TH ST NW,38.95397581632347,-77.06098550424008,30TH ST NW,38.920257343855056,-77.05924428288426,495.19
30TH ST NW,38.920257343855056,-77.05924428288426,30TH ST NW,38.906773576373254,-77.05919115289058,15.12
30TH ST NW,38.906773576373254,-77.05919115289058,31ST ST NW,38.92677439960796,-77.06130538763529,601.67
31ST ST NW,38.92677439960796,-77.06130538763529,31ST ST NW,38.949565574978905,-77.06292847353303,461.77
31ST ST NW,38.949565574978905,-77.06292847353303,32ND ST NW,38.948796755474206,-77.06435858685909,406.74
